Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
26-06-2018,MAHARASHTRA,NASHIK,2.98,-,19.57,37.83126921
26-06-2018,MAHARASHTRA,GARHCHIROLI,0.4,-,3.51,32.37862938
26-06-2018,MAHARASHTRA,RATNAGIRI,6.9,-,44.24,39.0193104
26-06-2018,MAHARASHTRA,OSMANABAD,2.1,-,21.29,36.76845124
26-06-2018,MAHARASHTRA,BID,1.56,-,14.08,36.04957632
26-06-2018,MAHARASHTRA,LATUR,4.87,-,45.55,38.67563452
26-06-2018,MAHARASHTRA,YAVATMAL,0.2,-,1.46,41.31836622
26-06-2018,MAHARASHTRA,BHANDARA,0.86,-,9.81,33.49132133
26-06-2018,MAHARASHTRA,MUMBAI SUBURBAN,0.64,-,5.67,43.0226361
26-06-2018,MAHARASHTRA,NANDURBAR,0.67,-,3.78,39.17010357
26-06-2018,MAHARASHTRA,NAGPUR,1.37,-,16.55,36.70845747
26-06-2018,MAHARASHTRA,CHANDRAPUR,0.17,-,1.56,37.61095938
26-06-2018,MAHARASHTRA,JALGAON,0.67,-,4.29,37.65106903
26-06-2018,MAHARASHTRA,HINGOLI,0.6,-,3.71,44.39570839
26-06-2018,MAHARASHTRA,AKOLA,0.33,-,2.12,44.37556026
26-06-2018,MAHARASHTRA,AURANGABAD,0.49,-,3.11,38.19614132
26-06-2018,MAHARASHTRA,DHULE,1.19,-,7.83,43.14922388
26-06-2018,MAHARASHTRA,KOLHAPUR,8.2,-,65.61,41.0215622
26-06-2018,MAHARASHTRA,RAIGARH,6.66,-,46.42,37.42247905
26-06-2018,MAHARASHTRA,AMRAVATI,0.75,-,5.71,39.43179118
26-06-2018,MAHARASHTRA,NANDED,0.49,-,3.75,42.00114781
26-06-2018,MAHARASHTRA,SOLAPUR,1.3,-,11.23,36.33758088
26-06-2018,MAHARASHTRA,AHMADNAGAR,0.93,-,7.1,35.46305576
26-06-2018,MAHARASHTRA,THANE,5.3,-,36.66,35.26920406
26-06-2018,MAHARASHTRA,SANGLI,3.59,-,29.16,37.17860359
26-06-2018,MAHARASHTRA,WARDHA,0.22,-,1.38,39.66239365
26-06-2018,MAHARASHTRA,BULDANA,0.83,-,4.85,41.12392452
26-06-2018,MAHARASHTRA,SINDHUDURG,7.21,-,48.48,39.07879762
25-06-2018,MAHARASHTRA,WASHIM,0.02,-,0.1,40.78040253
25-06-2018,MAHARASHTRA,SATARA,5.59,-,44.73,36.28375512
25-06-2018,MAHARASHTRA,PUNE,2.89,-,18.93,38.03873959
25-06-2018,MAHARASHTRA,PARBHANI,0.07,-,0.41,37.89255217
25-06-2018,MAHARASHTRA,JALNA,0.31,-,1.85,36.15786564
25-06-2018,MAHARASHTRA,GONDIYA,0.06,-,0.6,30.48149321
25-06-2018,MAHARASHTRA,MUMBAI,0,-,0,45.44851885
25-06-2018,MAHARASHTRA,NASHIK,3.5,-,22.53,38.13715414
25-06-2018,MAHARASHTRA,GARHCHIROLI,0.29,-,2.71,30.07816342
25-06-2018,MAHARASHTRA,RATNAGIRI,6.15,-,39.5,38.30656596
25-06-2018,MAHARASHTRA,OSMANABAD,2.13,-,21.55,37.1643402
25-06-2018,MAHARASHTRA,BID,1.65,-,14.88,37.20377388
25-06-2018,MAHARASHTRA,LATUR,4.82,-,45.09,38.0476705
25-06-2018,MAHARASHTRA,YAVATMAL,0.06,-,0.44,36.18861332
25-06-2018,MAHARASHTRA,BHANDARA,0.9,-,10.22,33.03752915
25-06-2018,MAHARASHTRA,MUMBAI SUBURBAN,1.27,-,9.61,45.28347804
25-06-2018,MAHARASHTRA,NANDURBAR,0.82,-,4.59,40.64803056
25-06-2018,MAHARASHTRA,NAGPUR,1.39,-,16.82,35.47294649
25-06-2018,MAHARASHTRA,CHANDRAPUR,0.17,-,1.56,35.16153944
25-06-2018,MAHARASHTRA,JALGAON,0.32,-,2.06,36.33651064
25-06-2018,MAHARASHTRA,HINGOLI,0.06,-,0.33,37.6834914
25-06-2018,MAHARASHTRA,AKOLA,0.11,-,0.67,42.70118779
25-06-2018,MAHARASHTRA,AURANGABAD,0.43,-,2.79,37.56570997
25-06-2018,MAHARASHTRA,DHULE,0.45,-,2.9,37.79917557
25-06-2018,MAHARASHTRA,KOLHAPUR,7.44,-,60.28,40.17539328
25-06-2018,MAHARASHTRA,RAIGARH,7.73,-,53.04,38.84411124
25-06-2018,MAHARASHTRA,AMRAVATI,0.54,-,4.02,37.20767493
25-06-2018,MAHARASHTRA,NANDED,0.35,-,2.91,38.53922005
25-06-2018,MAHARASHTRA,SOLAPUR,1.34,-,11.5,37.31455509
25-06-2018,MAHARASHTRA,AHMADNAGAR,1.02,-,7.66,36.78817906
25-06-2018,MAHARASHTRA,THANE,9.44,-,62.17,40.21237345
25-06-2018,MAHARASHTRA,SANGLI,3.52,-,28.68,37.81311769
25-06-2018,MAHARASHTRA,WARDHA,0.18,-,1.11,35.31418549
25-06-2018,MAHARASHTRA,BULDANA,0.24,-,1.44,39.55117886
25-06-2018,MAHARASHTRA,SINDHUDURG,5.77,-,38.46,36.94622471
24-06-2018,MAHARASHTRA,WASHIM,0.02,-,0.11,40.24185065
24-06-2018,MAHARASHTRA,SATARA,4.83,-,38.86,33.56461658
24-06-2018,MAHARASHTRA,PUNE,2.1,-,14.09,35.74949518
24-06-2018,MAHARASHTRA,PARBHANI,0.07,-,0.42,37.90149929
24-06-2018,MAHARASHTRA,JALNA,0.24,-,1.48,35.21259396
24-06-2018,MAHARASHTRA,GONDIYA,0.06,-,0.65,31.4938506
24-06-2018,MAHARASHTRA,MUMBAI,0,-,0,42.55881474
24-06-2018,MAHARASHTRA,NASHIK,0.4,-,2.75,32.9853969
24-06-2018,MAHARASHTRA,GARHCHIROLI,0.33,-,3,30.94240213
24-06-2018,MAHARASHTRA,RATNAGIRI,3.94,-,24.16,34.51725037
24-06-2018,MAHARASHTRA,OSMANABAD,2.13,-,21.55,37.78491705
24-06-2018,MAHARASHTRA,BID,1.58,-,14.39,36.22819083
24-06-2018,MAHARASHTRA,LATUR,5.04,-,47.07,39.02420327
24-06-2018,MAHARASHTRA,YAVATMAL,0.06,-,0.48,36.90900946
24-06-2018,MAHARASHTRA,BHANDARA,0.99,-,10.97,34.36179849
24-06-2018,MAHARASHTRA,MUMBAI SUBURBAN,0.01,-,0.12,38.33344234
24-06-2018,MAHARASHTRA,NANDURBAR,0.09,-,0.49,33.78963955
24-06-2018,MAHARASHTRA,NAGPUR,1.46,-,17.39,36.79206303
24-06-2018,MAHARASHTRA,CHANDRAPUR,0.19,-,1.66,35.9183861
24-06-2018,MAHARASHTRA,JALGAON,0.19,-,1.2,32.72423509
24-06-2018,MAHARASHTRA,HINGOLI,0.06,-,0.35,38.37348129
24-06-2018,MAHARASHTRA,AKOLA,0.07,-,0.48,38.24769057
24-06-2018,MAHARASHTRA,AURANGABAD,0.38,-,2.5,36.23319065
24-06-2018,MAHARASHTRA,DHULE,0.11,-,0.73,35.07695478
24-06-2018,MAHARASHTRA,KOLHAPUR,6.35,-,52.26,37.6159294
