Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
20-06-2018,ANDHRA PRADESH,SRIKAKULAM,1.94,-,16.56,29.694766
20-06-2018,ANDHRA PRADESH,Y.S.R.,3.2,-,22.57,27.4549061
20-06-2018,ANDHRA PRADESH,CHITTOOR,4.62,-,31.16,30.63374471
20-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.42,-,4.14,27.8851525
20-06-2018,ANDHRA PRADESH,GUNTUR,0.12,-,1.03,26.16242816
20-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,0.71,-,6.72,30.92872269
19-06-2018,ANDHRA PRADESH,PRAKASAM,0.76,-,5.23,27.32960473
19-06-2018,ANDHRA PRADESH,VIZIANAGARAM,0.8,-,7.19,37.31740462
19-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.21,-,1.84,27.82697697
19-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.64,-,4.5,27.48296822
19-06-2018,ANDHRA PRADESH,ANANTAPUR,3.23,-,22.83,27.62276369
19-06-2018,ANDHRA PRADESH,KURNOOL,5.25,-,41.44,30.77019079
19-06-2018,ANDHRA PRADESH,KRISHNA,1.2,-,9.85,27.73251128
19-06-2018,ANDHRA PRADESH,SRIKAKULAM,2.05,-,17.38,30.99297445
19-06-2018,ANDHRA PRADESH,Y.S.R.,3.32,-,23.47,27.11106969
19-06-2018,ANDHRA PRADESH,CHITTOOR,4.75,-,32.01,31.70731342
19-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.44,-,4.26,28.22707516
19-06-2018,ANDHRA PRADESH,GUNTUR,0.13,-,1.09,26.74786872
19-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,0.72,-,6.84,31.06974677
18-06-2018,ANDHRA PRADESH,PRAKASAM,0.81,-,5.6,28.26049663
18-06-2018,ANDHRA PRADESH,VIZIANAGARAM,0.72,-,6.49,32.82977254
18-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.21,-,1.87,29.05893095
18-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.68,-,4.79,28.36685306
18-06-2018,ANDHRA PRADESH,ANANTAPUR,3.43,-,24.31,29.09891837
18-06-2018,ANDHRA PRADESH,KURNOOL,5.58,-,44.14,31.98497153
18-06-2018,ANDHRA PRADESH,KRISHNA,1.22,-,9.96,28.89929538
18-06-2018,ANDHRA PRADESH,SRIKAKULAM,1.93,-,16.45,29.28713818
18-06-2018,ANDHRA PRADESH,Y.S.R.,3.49,-,24.73,28.04076389
18-06-2018,ANDHRA PRADESH,CHITTOOR,4.95,-,33.34,33.18296886
18-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.48,-,4.61,29.19286376
18-06-2018,ANDHRA PRADESH,GUNTUR,0.14,-,1.17,28.05594072
18-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,0.74,-,6.92,29.17054737
17-06-2018,ANDHRA PRADESH,PRAKASAM,0.88,-,6.07,29.26039401
17-06-2018,ANDHRA PRADESH,VIZIANAGARAM,0.69,-,6.27,30.54172886
17-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.22,-,1.9,30.33942674
17-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.72,-,5.11,29.57535744
17-06-2018,ANDHRA PRADESH,ANANTAPUR,3.62,-,25.79,30.87139828
17-06-2018,ANDHRA PRADESH,KURNOOL,5.91,-,46.81,33.25543477
17-06-2018,ANDHRA PRADESH,KRISHNA,1.23,-,10.07,30.05807075
17-06-2018,ANDHRA PRADESH,SRIKAKULAM,1.95,-,16.82,29.56420854
17-06-2018,ANDHRA PRADESH,Y.S.R.,3.65,-,25.91,29.49827972
17-06-2018,ANDHRA PRADESH,CHITTOOR,5.18,-,34.78,35.14530222
17-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.52,-,5.03,30.39361744
17-06-2018,ANDHRA PRADESH,GUNTUR,0.15,-,1.25,29.55359953
17-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,0.74,-,7.06,29.32522663
16-06-2018,ANDHRA PRADESH,PRAKASAM,0.98,-,6.69,30.88555612
16-06-2018,ANDHRA PRADESH,VIZIANAGARAM,0.73,-,6.61,31.28605541
